Oona,Swigart,16076420,Oona.Swigart@college.harvard.edu,2
Hope,Quent,16435294,Hope.Quent@college.harvard.edu,9
Fayre,Vorster,11185066,Fayre.Vorster@college.harvard.edu,2
Priscilla,Geffner,14666772,Priscilla.Geffner@college.harvard.edu,3
Madeleine,Stilwell,13502774,Madeleine.Stilwell@college.harvard.edu,10
Deirdre,Khorma,11100518,Deirdre.Khorma@college.harvard.edu,10
Anthia,Blase,14657089,Anthia.Blase@college.harvard.edu,3
Diena,Shama,13777228,Diena.Shama@college.harvard.edu,0
Cristabel,Audly,19191289,Cristabel.Audly@college.harvard.edu,8
Misha,Tybald,15474105,Misha.Tybald@college.harvard.edu,1
Carly,Haymes,10825876,Carly.Haymes@college.harvard.edu,7
Chloris,Shaddock,14456015,Chloris.Shaddock@college.harvard.edu,7
Evita,Whittaker,16942112,Evita.Whittaker@college.harvard.edu,4
Fina,Zetta,17941504,Fina.Zetta@college.harvard.edu,7
Carolina,Ummersen,12399079,Carolina.Ummersen@college.harvard.edu,2
Roberta,Ingra,11936833,Roberta.Ingra@college.harvard.edu,3
Moyna,Dorothy,12556187,Moyna.Dorothy@college.harvard.edu,3
Zondra,Cadmar,12486497,Zondra.Cadmar@college.harvard.edu,5
Gusty,Merat,11280490,Gusty.Merat@college.harvard.edu,9
Bertine,Merell,19533403,Bertine.Merell@college.harvard.edu,2
Pierette,Hutchison,16577108,Pierette.Hutchison@college.harvard.edu,11
Sue,Oneida,16223298,Sue.Oneida@college.harvard.edu,7
Gale,Hermes,10553554,Gale.Hermes@college.harvard.edu,2
Inga,Bow,15657083,Inga.Bow@college.harvard.edu,8
Jaclyn,Flita,18705071,Jaclyn.Flita@college.harvard.edu,4
Bernardine,Sophronia,16311101,Bernardine.Sophronia@college.harvard.edu,5
Chrystel,Borrell,16164885,Chrystel.Borrell@college.harvard.edu,5
Larine,Paton,14731172,Larine.Paton@college.harvard.edu,1
Phedra,Lia,11868072,Phedra.Lia@college.harvard.edu,7
Melanie,Merna,17144995,Melanie.Merna@college.harvard.edu,8
Emmey,Boehike,19456940,Emmey.Boehike@college.harvard.edu,0
Alejandra,Ehrman,16185753,Alejandra.Ehrman@college.harvard.edu,3
Yetty,Monaco,14071918,Yetty.Monaco@college.harvard.edu,0
Deirdre,Ioab,11777577,Deirdre.Ioab@college.harvard.edu,5
Catrina,Persse,14686761,Catrina.Persse@college.harvard.edu,6
